Song Title,Song Album,Song Artist,Song Length
21 Guns,21st Century Breakdown (Deluxe Version),Green Day,5:21
If Today Was Your Last Day,Dark Horse,Nickelback,4:9
Collide,Stop All the World Now,Howie Day,4:9
Collide,Stop All the World Now (Special Edition Version),Howie Day,4:7
I Love You This Big,Clear As Day,Scotty McCreery,4:6
Pursuit of Happiness (Nightmare) [feat. MGMT & Ratatat],Man On the Moon - The End of Day (Expanded Version),Kid Cudi,4:55
Groundhog Day,The Marshall Mathers LP2 (Deluxe),Eminem,4:53
Day That I Die (feat. Amos Lee),Uncaged,Zac Brown Band,4:53
The Best Day,Fearless,Taylor Swift,4:5
Wake Me Up When September Ends,American Idiot (Deluxe Version),Green Day,4:45
"Huntin', Fishin' and Lovin' Every Day",Kill the Lights,Luke Bryan,4:38
If It Means a Lot to You,Homesick,A Day to Remember,4:3
"Boulevard of Broken Dreams (feat. John Gallagher Jr., Rebecca Naomi Jones, Stark Sands & Company)",American Idiot (The Original Broadway Cast Recording),Green Day,4:22
Cudi Zone,Man On the Moon - The End of Day (Expanded Version),Kid Cudi,4:19
Rise Up,Cheers to the Fall,Andra Day,4:13
Dog Days Are Over,Lungs,Florence + The Machine,4:12
Hide Away,"NOW That's What I Call Music, Vol. 57",Daya,3:9
Day-O (The Banana Boat Song),Calypso,Harry Belafonte,3:9
First Day of My Life,I'm Wide Awake It's Morning,Bright Eyes,3:8
Soundtrack 2 My Life,Man On the Moon - The End of Day (Expanded Version),Kid Cudi,3:55
New Year’s Day,reputation,Taylor Swift,3:55
Til My Last Day,Outlaws Like Me,Justin Moore,3:54
Bad Day,Daniel Powter,Daniel Powter,3:53
Burn,Halcyon Days (Deluxe Edition),Ellie Goulding,3:51
Up Down (Do This All Day) [feat. B.o.B],Up Down (Do This All Day) [feat. B.o.B] - Single,T-Pain,3:51
I Hate Everything About You,Three Days Grace,Three Days Grace,3:51
The Trouble With Girls,Clear As Day,Scotty McCreery,3:49
Up Up & Away,Man On the Moon - The End of Day (Expanded Version),Kid Cudi,3:47
Irreplaceable,B'Day (Deluxe Edition),Beyoncé,3:47
Best Days of Your Life,Kellie Pickler (Deluxe Version),Kellie Pickler,3:46
Day 'n' Nite (Nightmare),Man On the Moon - The End of Day (Expanded Version),Kid Cudi,3:41
Day 'n' Nite,Man On the Moon: The End of Day,Kid Cudi,3:41
Day-O (The Banana Boat Song),Very Best of Harry Belafonte,Harry Belafonte,3:4
Make Her Say (feat. Kanye West & Common),Man On the Moon - The End of Day (Expanded Version),Kid Cudi,3:36
One Short Day,Wicked (Original Broadway Cast Recording),Kristin Chenoweth & Idina Menzel,3:3
The Downfall of Us All,Homesick,A Day to Remember,3:29
Don't Let Me Down (feat. Daya),Collage - EP,The Chainsmokers,3:28
One Day,Light (Bonus Track Version),Matisyahu,3:27
The Saints Are Coming (Live from New Orleans),The Saints Are Coming (Live) - Single,U2 & Green Day,3:27
"Sit Still, Look Pretty","Sit Still, Look Pretty",Daya,3:22
It's a Beautiful Day,To Be Loved,Michael Bublé,3:19
Best Day of My Life,"Oh, What a Life",American Authors,3:14
End of the Day,Made In The A.M. (Deluxe Edition),One Direction,3:14
Hide Away,"Sit Still, Look Pretty",Daya,3:12
Beachin',Days of Gold,Jake Owen,3:11
Know Your Enemy,21st Century Breakdown (Deluxe Version),Green Day,3:10
Day Drinking,Pain Killer,Little Big Town,2:58
American Idiot,American Idiot (Deluxe Version),Green Day,2:53
Good Riddance (Time of Your Life),International Superhits!,Green Day,2:33
Coronation Day,Frozen (Original Motion Picture Soundtrack),Christophe Beck,1:14
